"accession_id","name","country","latitude","longitude","count_phenotypes"
6210,"TEDEN 03","Sweden",62.8839,18.1836,147
6212,"TFÄ 02","Sweden",63.0175,18.323889,0
6214,"TFÄ 04","Sweden",63.0175,18.3281,1
6215,"TFÄ 05","Sweden",63.017223,18.328056,0
6216,"TFÄ 06","Sweden",63.0167,18.3283,128
6217,"TFÄ 07","Sweden",63.0169,18.3283,138
6218,"TFÄ 08","Sweden",63.0172,18.3283,128
6220,"TGR 01","Sweden",62.806,18.1896,14
6221,"TGR 02","Sweden",62.806,18.1896,7
6226,"THÖ 08","Sweden",62.799446,17.903334,5
6231,"TNY 04","Sweden",62.96,18.2844,15
6235,"TOM 01","Sweden",62.9611,18.3589,133
6236,"TOM 02","Sweden",62.9617,18.36,0
6237,"TOM 03","Sweden",62.9619,18.35,13
6238,"TOM 04","Sweden",62.9619,18.35,9
6240,"TOM 06","Sweden",62.9622,18.35,14
6241,"TOM 07","Sweden",62.9614,18.3608,13
6242,"Tomegap-2","Sweden",55.7,13.2,127
6243,"Tottarp-2","Sweden",56.27373,13.90045,409
6244,"TRÄ 01","Sweden",62.9169,18.4728,143
6252,"TV-4","Sweden",55.5796,14.3336,9
6255,"TV-7","Sweden",55.5796,14.334,10
6258,"TV-10","Sweden",55.5796,14.3336,19
6268,"TV-22","Sweden",55.5796,14.3336,20
6276,"TV-30","Sweden",55.5796,14.3336,13
6284,"TV-38","Sweden",55.5796,14.3336,14
6287,"Udu-9","Czech Republic",49.2771,16.6314,0
6296,"UduI 1-11","Czech Republic",49.2771,16.6314,16
6309,"UduI 1-25","Czech Republic",49.2771,16.6314,0
6318,"UduI 1-34","Czech Republic",49.2771,16.6314,123
6390,"UduI 3-36","Czech Republic",49.2771,16.6314,15
6396,"UduI 4-9","Czech Republic",49.2771,16.6314,15
6401,"UduI 4-16","Czech Republic",49.2771,16.6314,0
6402,"UduI 4-17","Czech Republic",49.2771,16.6314,0
6403,"UduI 4-18","Czech Republic",49.2771,16.6314,0
6411,"Ull1-10","Sweden",56.06,13.97,0
6412,"Ull2-7","Sweden",56.0648,13.9707,0
6413,"Ull3-4","Sweden",56.06,13.97,122
6416,"Zdr-13","Czech Republic",49.3853,16.2544,0
6417,"Zdr-16","Czech Republic",49.3853,16.2544,0
6418,"Zdr-19","Czech Republic",49.3853,16.2544,0
6421,"ZdrI 1-8","Czech Republic",49.3853,16.2544,0
6424,"ZdrI 1-23","Czech Republic",49.3853,16.2544,20
6425,"ZdrI 1-24","Czech Republic",49.3853,16.2544,0
6427,"ZdrI 2-1","Czech Republic",49.3853,16.2544,0
6434,"ZdrI 2-9","Czech Republic",49.3853,16.2544,15
6435,"ZdrI 2-10","Czech Republic",49.3853,16.2544,0
6436,"ZdrI 2-11","Czech Republic",49.3853,16.2544,0
6444,"ZdrI 2-20","Czech Republic",49.3853,16.2544,0
6445,"ZdrI 2-21","Czech Republic",49.3853,16.2544,20
6446,"ZdrI 2-22","Czech Republic",49.3853,16.2544,0
6448,"ZdrI 2-24","Czech Republic",49.3853,16.2544,122
6449,"ZdrI 2-25","Czech Republic",49.3853,16.2544,123
6451,"ZdrI 2-28","Czech Republic",49.3853,16.2544,0
6453,"ZdrI 2-30","Czech Republic",49.3853,16.2544,0
6455,"ZdrI 2-32","Czech Republic",49.3853,16.2544,0
6458,"ZdrI 2-36","Czech Republic",49.3853,16.2544,0
6680,"ANH-1","GER",51.85,6.4333,131
6709,"Bg-2","US",47.6479,-122.305,180
6727,"CIBC-2","UK",51.4083,-0.6383,113
6729,"CIBC-4","UK",51.4083,-0.6383,122
6730,"CIBC-5","UK",51.4083,-0.6383,184
6739,"CSHL-15","US",40.8585,-73.4675,0
6740,"CSHL-17","US",40.8585,-73.4675,0
6744,"CSHL-5","US",40.8585,-73.4675,132
6749,"FM-10","US",42.4489,-76.5072,0
6750,"FM-11","US",42.4489,-76.5072,0
6805,"HS-12","US",42.373,-71.0627,0
6806,"HS-17","US",42.373,-71.0627,0
6810,"KNO-11","US",41.2816,-86.621,116
6814,"KNO-15","US",41.2816,-86.621,0
6830,"Kz-13","Kazakhstan",49.5,73.1,29
6847,"NFC-20","UK",51.4083,-0.6383,121
6897,"Ag-0","France",45,1.3,446
6898,"An-1","Belgium",51.2167,4.4,479
6899,"Bay-0","GER",49,11,326
6900,"Bil-5","Sweden",63.324,18.484,132
6901,"Bil-7","Sweden",63.324,18.484,123
6903,"Bor-4","Czech Republic",49.4013,16.2326,353
6904,"Br-0","Czech Republic",49.2,16.6166,315
6905,"Bur-0","Ireland",54.1,-6.2,162
6906,"C24","POR",40.2077,-8.42639,359
6907,"CIBC-17","UK",51.4083,-0.6383,268
6908,"CIBC-5","UK",51.4083,-0.6383,138
6909,"Col-0","US",38.3,-92.3,365
6910,"Ct-1","Italy",37.3,15,282
6911,"Cvi-0","Cape Verde",15.1111,-23.6167,312
6913,"Eden-2","Sweden",62.877,18.177,300
6914,"Edi-0","UK",55.9494,-3.16028,235
6915,"Ei-2","GER",50.3,6.3,389
6916,"Est-1","Russia",58.3,25.3,294
